COURSE_PROF,COURSE_PROF_DESC
15546,HIST30392007
92671,SPAN10145799
93775,HIST16264408
38990,SPAN10293769
44525,MATH12043631
2498,MATH1216567
54311,PHIL15699185
86806,BIOL112L4534
15324,ENGL10154825
84105,ENGL29294025
93640,JAPN10231858
97933,MATH12128303
53186,UNIV10175583
27963,APMS11989815
99813,ENGL10183212
26753,HED33392821
53848,ENGL10228366
54053,DANC4161849
37552,MUS27175338
69984,MATH11134375
83250,CJ22118965
5732,SPAN10231968
53955,PHIL15697398
74380,MATH18065633
11728,SPAN20223364
97003,PENP17028515
51262,PEP28449558
23742,PSY10534593
81526,BIOL124L74796
93865,SPAN20290359
93423,PHIL20132161
5983,ENGL25012692
9464,SPAN30136982
69170,ARTS18742636
97824,MATH18092807
70255,NATV25055229
143,ECON10650188
9073,AFAS12162327
3096,JAPN20231858
64884,SPAN10227415
18381,ENGL10180547
72340,MATH12150326
58979,ANTH13054518
21874,ENGL10215752
4244,CLST21491419
71215,UHON121A18867
83805,SPAN301B86945
65769,POLS24043142
39165,ENGL22017073
4598,SPAN30722772
79569,SPAN30140161
30492,UHON22254436
25152,SPAN30298340
95189,GEOG105L17830
5577,ARSC19834033
93260,ENGL10137500
29643,MATH12385886
53772,PENP15836565
6402,ENGL10221930
67078,SPAN10270098
60027,PENP1615470
7471,CJ13024545
68640,PENP10156438
84150,SPAN21192715
60727,MATH1217140
27741,ARTS10657990
25222,WMST2007306
32526,CJ13070042
3290,SPAN20270291
10595,MA33066944
21278,PENP14457546
48214,FREN10114005
54429,ENGL10287358
65767,ARTH25093680
46688,THEA10545390
81427,MATH12164747
46352,ENGL22049759
65284,ARTS12643113
54114,FA25070255
39370,SPAN27517447
1847,ARSC1984344
78180,ENGL10227633
28114,DANC24989599
90833,SPAN2764573
80613,BIOL124L75833
89456,CJ22112385
66213,PENP193J6415
7822,NATV45055229
12502,EPS21177369
25611,ENGL10175778
64511,PENP1621182
5773,CJ13012180
48585,HED2472604
76219,BIOL124L52253
71600,CS150L34705
5523,ENGL10290818
39817,HIST1613784
61209,SPAN10134965
62680,BIOL11047146
24278,ENGL22490027
33213,COMP224605
84624,MATH12045515
50276,PENP1217623
92103,AMST18049759
84381,ENGL10182897
22329,PHIL15695070
45412,ENGL2235610
46850,ARTS20563208
13483,UHON121F54436
37500,PENP16222083
8984,PENP16048761
83477,FS20290533
11753,STAT14516131
32835,SPAN2127762
27495,PENP17010931
58807,SPAN30284
16619,MGMT15838729
99289,ENGL10187742
37911,ECON10646757
90531,ARTS15775209
48983,ENGL10260523
67112,SPAN10139955
55501,SPAN21295562
80748,ARSC19861098
30913,CJ13091095
59967,ENGL10214948
34268,SPAN30131314
9677,ECON10539353
69017,GRMN10170496
23814,GRMN10270496
40325,POLS20071081
88662,UNIV10265411
28544,ANTH25191934
97003,BIOL11060443
7557,MATH12160443
61082,ECON10549843
26790,UHON12285569
31592,DANC11639491
77290,SPAN11284832
9215,ENGL10221828
96993,CHMS33250566
90350,PENP10178577
10061,ARTH1018136
66479,MATH15085537
87210,HIST10113388
90810,ENGL10196628
43553,SPAN20176234
32295,ENGL1023263
48860,HIST10213388
64000,ENGL10195783
31450,MATH12143631
46659,GEOG105L1396
73459,ECON10699219
29769,CJ13081233
4478,GEOG25120707
58523,PENP16555306
79643,BIOL124L76231
768,SPAN10193769
88756,BIOL11071770
16822,HIST10233806
80962,ARTS18794584
74504,ENGL25020439
45470,ARTH2047456
56688,ARTS18894584
57660,PENP14469718
97578,UHON22250962
2122,PENP1401182
77461,SPAN10188092
97768,ENGL10262924
5629,MATH12042443
91316,ECON10639353
99471,ARTS10631551
93532,PHIL15673530
19947,PENP16078577
9666,AFAM10380554
7473,CJ22187711
74813,ENGL10219898
73597,AFST29754582
82977,PENP15520887
77337,ENGL10269818
78071,ENGL21961502
72677,SPAN10177856
29408,GEOG10176341
80407,NTSC262L49647
28427,MATH11129848
35862,MATH112182
31539,CJ22035381
22352,MA21066944
34305,MA43766944
92626,UNIV21631940
19408,BIOL12347146
53509,EMS10193317
18005,GRMN10181817
3641,SPAN10135381
52097,MATH18061007
66736,PSY10514100
78237,SPAN10270548
33102,MATH12017417
